,scores,support
firecomp_L022,9381.999999999967,False
firecomp_L023,8042.428571428145,False
firecomp_L024,9390.000000000278,True
firecomp_L025,8596.41666666662,False
firecomp_L026,6563.699999999713,False
firecomp_L028,6929.902243589875,False
firecomp_L029,6883.73333333325,False
firecomp_L030,6599.4814814814845,False
firecomp_L031,6722.21666666711,False
firecomp_L032,4220.22592764337,False
firecomp_L033,5654.679487179614,False
firecomp_L034,7194.766666666907,False
firecomp_L035,9384.999999999985,False
firecomp_L036,9386.000000000116,True
firecomp_L037,3884.3354172677705,False
firecomp_L038,6903.491830065758,False
firecomp_L039,5411.100042441778,False
firecomp_L040,9380.000000000036,False
firecomp_L041,4856.9216917187305,False
firecomp_L042,8713.214285713631,False
firecomp_L043,7822.8333333333285,False
firecomp_L044,7622.18750000006,False
firecomp_L045,8338.555555555437,False
firecomp_L046,5648.686111110955,False
firecomp_L047,4834.435421312523,False
firecomp_L048,6428.26282051269,False
firecomp_L049,9386.999999999836,True
firecomp_L050,4630.738949703127,False
firecomp_L051,3879.4550041053803,False
firecomp_L052,6433.964814814698,False
firecomp_L053,6464.355555556098,False
firecomp_L054,5440.602134647664,False
firecomp_L055,3552.7541666664006,False
firecomp_L056,6474.78999999965,False
firecomp_L058,7041.250000000022,False
firecomp_L059,3828.1907029477175,False
firecomp_L061,5259.095023891639,False
firecomp_L076,5775.985773392499,False
firecomp_L077,6304.439697644173,False
firecomp_L078,4905.231944444209,False
firecomp_L079,5674.663696488163,False
firecomp_L080,5514.021652183618,False
firecomp_L081,5826.427588812392,False
firecomp_L082,5131.702538017891,False
firecomp_L083,5384.794636789059,False
firecomp_L084,5416.298045361031,False
firecomp_L085,4453.19717211153,False
firecomp_L086,4780.837217959224,False
firecomp_L087,5215.545918367544,False
firecomp_L101,6524.570833332929,False
firecomp_L102,6987.685416666399,False
firecomp_L103,3203.303379028148,False
firecomp_L104,7598.622916666518,False
firecomp_L105,6874.9610733180325,False
firecomp_L106,5868.475143515598,False
firecomp_L107,5353.230330616479,False
firecomp_L108,7558.972222222143,False
firecomp_L109,4530.177448429047,False
firecomp_L110,8131.866666666276,False
firecomp_L111,5143.432935595214,False
firecomp_L112,4166.0036893707265,False
firecomp_L113,4162.782368537879,False
firecomp_L114,4771.587796233044,False
firecomp_L115,6188.309888829006,False
firecomp_L116,6289.545362717942,False
firecomp_L117,4370.379895147852,False
firecomp_L118,8213.124999999995,False
firecomp_L119,7085.943749999761,False
firecomp_L120,6607.350694444324,False
firecomp_L121,6600.321450616846,False
firecomp_L122,4805.8316431507565,False
firecomp_L123,6131.279166666444,False
firecomp_L124,4765.466190475977,False
firecomp_L125,5579.258957572606,False
firecomp_L126,4272.2673558520955,False
firecomp_L127,4353.29392402445,False
firecomp_L128,6713.176923077067,False
firecomp_L129,5378.906404948126,False
firecomp_L130,4413.925782478399,False
firecomp_L131,5796.405731523691,False
firecomp_L132,4455.445573207457,False
firecomp_L133,4245.209171414327,False
firecomp_L134,5402.354965916043,False
firecomp_L135,4457.953620338954,False
firecomp_L136,3918.0268212566684,False
firecomp_L137,4970.447222222044,False
firecomp_L138,4682.7993611281045,False
firecomp_L140,5512.899502170754,False
firecomp_L142,3162.716810629456,False
firecomp_L143,5368.501335735995,False
firecomp_L144,4141.3070257024665,False
firecomp_L146,5722.087750885337,False
firecomp_L147,5869.274725274753,False
firecomp_L148,6219.668956764361,False
firecomp_L149,3506.2490944341375,False
firecomp_L150,4287.100749719406,False
firecomp_L151,8014.965549433337,False
firecomp_L152,4280.244454719131,False
firecomp_L153,5081.100576285269,False
firecomp_L154,5386.547304405031,False
firecomp_L155,4353.874113842074,False
firecomp_L156,5189.32198382701,False
firecomp_L157,4118.386404270876,False
firecomp_L158,4200.530508146061,False
firecomp_L159,3774.3959802315117,False
firecomp_L160,4461.806386525736,False
firecomp_L161,4401.530275571867,False
firecomp_L162,3479.8858357372505,False
firecomp_L163,6095.411471861178,False
firecomp_L164,4586.83204319292,False
firecomp_L165,3539.7152321683366,False
firecomp_L166,5517.090206452659,False
firecomp_L167,3492.2273217587926,False
firecomp_L168,3599.305288306743,False
firecomp_L169,6063.809752284344,False
firecomp_L170,5238.989522327025,False
firecomp_L172,5311.067582599166,False
firecomp_L173,7181.388247148614,False
firecomp_L174,4209.279318983486,False
firecomp_L175,4996.683918301316,False
firecomp_L176,5722.709377777454,False
firecomp_Q001,6345.543816016245,False
firecomp_Q018,8602.416666666644,False
firecomp_Q041,7194.766666666698,False
firecomp_Q061,5882.951435406442,False
firecomp_Q252,5028.459902658604,False
firecomp_Q270,3313.772077534348,False
